id,name,lat,lon
358951243,Fairmount Bible Church,39.7827778,-105.1688889
358951264,Hillside Community Church,39.7664934,-105.2279965
358951267,Islamic Center of Golden,39.7502778,-105.2136111
358951269,Jefferson Unitarian Church,39.7611111,-105.16
358951274,Saint Luke's Lutheran Church,39.7477778,-105.1466667
358951285,Wide Acres Baptist Church,39.72772,-105.1584138
358951288,An Bang Buddhist Temple,39.7,-105.0575
358951290,Applewood Baptist Church,39.7613889,-105.1247222
358951293,Bear Creek Evangelical Church,39.6608333,-105.1102778
358951295,Bethel Christian Fellowship Church,39.7188889,-105.0561111
358951297,Christ Chapel of the Rockies,39.7175,-105.06
358951300,Christ On The Mountain Parish,39.6847222,-105.1538889
358951302,Bethlehem Lutheran Church,39.7491667,-105.0808333
358951307,Cloverdale Church of God,39.6933333,-105.0594444
358951309,First Baptist Church of Lakewood,39.7377778,-105.0869444
358951316,First Presbyterian Church,39.7324794,-105.0894954
358951319,Grace Fellowship Church of Lakewood,39.7197222,-105.1011111
358951323,Green Mountain Presbyterian Church,39.6977778,-105.1425
358951326,Lakewood Christian Church,39.7480556,-105.11
358951328,Lakewood Christian Fellowship Church,39.7161111,-105.0705556
358951330,Lakewood Church of the Nazarene,39.7438889,-105.0938889
358951333,Lakewood First Church of Christ Scientist,39.7425,-105.1011111
358951335,Lakewood First United Methodist Church,39.7380556,-105.0891667
358951338,Lakewood New Life Center,39.7183333,-105.0541667
358951340,Lakewood United Church of Christ,39.7188889,-105.09
358951342,Landmark Missionary Baptist Church,39.710459,-105.1151651
358951345,Lachwood Christian Fellowship Church,39.6919444,-105.1283333
358951347,Mile Hi Church,39.7117162,-105.0975849
358951349,Mile High Baptist Church,39.6522222,-105.0877778
358951352,Mountair Christian Church,39.7383333,-105.0552778
358951354,New Hope Ministries,39.7008333,-105.0541667
358951356,Our Lady of Fatima Catholic Church,39.7472222,-105.115
358951360,Phillips United Methodist Church,39.6911111,-105.0713889
358951366,Saint Bernadette Catholic Church,39.7344444,-105.0772222
358951368,Saint Jude Catholic Parish of Lakewood,39.6908333,-105.1041667
358951370,Saint Paul's Episcopal Church,39.7327778,-105.1008333
358951373,Saint Paul's United Church,39.7513889,-105.0863889
358951375,Seventh Day Baptist Church,39.7513889,-105.0825
358951378,Southwest Bible Chapel,39.6891667,-105.0541667
358951380,Belleview Community Church,39.6233462,-105.1388114
358951382,The Church of Jesus Christ of Latter-day Saints,39.623798,-105.1409996
358951385,Dakota Ridge Assembly,39.6247222,-105.1263889
358951389,Saint Philip Lutheran Church,39.5802778,-105.0675
358951392,Morrison Community Church,39.6538889,-105.1894444
358951395,Abundant Grace Fellowship Church,39.7788889,-105.0819444
358951399,The Church of Jesus Christ of Latter-day Saints,39.7652778,-105.0541667
358951402,Clear Creek Valley Baptist Church,39.7786111,-105.1163889
358951404,Community of Christ Church,39.7675,-105.1375
358951408,Covenant Presbyterian Church,39.7763889,-105.0644444
358951411,Evangel Baptist Church,39.7733333,-105.0677778
358951413,Glory of God Lutheran Church,39.7677778,-105.1355556
358951416,Holy Cross Lutheran Church,39.7788889,-105.0808333
358951418,Jefferson Avenue United Methodist Church,39.7786111,-105.1105556
358951420,Miller Street Church of Christ,39.7805556,-105.1147222
358951424,Park View Bible Baptist Church,39.7633333,-105.0591667
